application_id,date_tagged,date_actioned,outcome_id,queue_id,analyst_id,store_id,message
1,2023-07-30 00:06:00,2023-07-30 09:24:00,A,CPB,QMascarenhas,5,
2,2023-07-30 09:17:00,2023-07-30 09:32:00,A,CE,NBhatia,3,"Conditionally Approved, if the Customer goes on Direct Debit mode of Payment and pays off the outstanding balance due for $129.29"
3,2023-07-30 09:28:00,2023-07-30 09:45:00,A,CE,CDcosta,2,Approve
4,2023-07-30 09:37:00,2023-07-30 09:49:00,A,CE,QMascarenhas,1,
5,2023-07-30 09:40:00,2023-07-30 09:57:00,A,CE,CDcosta,2,Approve
6,2023-07-30 09:44:00,2023-07-30 09:56:00,A,CPB,QMascarenhas,1,
7,2023-07-30 10:02:00,2023-07-30 10:16:00,A,CE,QMascarenhas,3,
8,2023-07-30 10:24:00,2023-07-30 10:37:00,A,CPB,CDcosta,5,Approved for 1 handset and 1 MBB
9,2023-07-30 10:28:00,2023-07-30 10:37:00,A,CE,MDcruz,4,Approve
10,2023-07-30 10:39:00,2023-07-30 10:46:00,A,CPRB,MDcruz,1,Approve
11,2023-07-30 10:40:00,2023-07-30 10:48:00,A,CE,QMascarenhas,3,
12,2023-07-30 10:41:00,2023-07-30 10:55:00,A,CPB,NVaid,2,Approved for 1 handset and 1 MBB
13,2023-07-30 10:55:00,2023-07-30 11:07:00,A,CPRB,NVaid,6,Direct debit to bank account or credit card mandatory
14,2023-07-30 10:58:00,2023-07-30 11:02:00,A,CE,MDcruz,6,
15,2023-07-30 11:01:00,2023-07-30 11:10:00,A,CE,MDcruz,4,
16,2023-07-30 11:03:00,2023-07-30 11:10:00,A,CPRB,CDcosta,6,Approved for 1 handset and 1 MBB
17,2023-07-30 11:08:00,2023-07-30 11:18:00,A,CPRB,CDcosta,2,Approved for 1 handset and 1 MBB
18,2023-07-30 11:09:00,2023-07-30 11:15:00,A,CPB,SSyed,6,
19,2023-07-30 11:15:00,2023-07-30 11:20:00,A,CE,MDcruz,4,Approve
20,2023-07-30 11:29:00,2023-07-30 11:35:00,A,CE,RBose,1,Approved only with outright purchase of handset or USIM only
21,2023-07-30 11:29:00,2023-07-30 11:44:00,A,CPB,MDcruz,4,
22,2023-07-30 11:29:00,2023-07-30 11:34:00,A,CE,QMascarenhas,5,Approve
23,2023-07-30 11:39:00,2023-07-30 12:00:00,A,CPB,SBambaras,2,Approved for 1 handset and 1 MBB
24,2023-07-30 11:39:00,2023-07-30 11:44:00,A,CE,AAkhundpur,6,Approve
25,2023-07-30 11:40:00,2023-07-30 11:45:00,A,CPRB,QMascarenhas,4,Approved for 1 handset and 1 MBB
26,2023-07-30 11:40:00,2023-07-30 11:51:00,A,CPRB,NVaid,3,Approve
27,2023-07-30 11:46:00,2023-07-30 11:59:00,A,CE,QMascarenhas,5,Approve
28,2023-07-30 11:48:00,2023-07-30 12:05:00,A,CPB,AAkhundpur,1,Approve
29,2023-07-30 11:55:00,2023-07-30 12:12:00,A,CE,NBhatia,2,Approve
30,2023-07-30 11:57:00,2023-07-30 12:08:00,A,CE,QMascarenhas,1,Approve
31,2023-07-30 12:10:00,2023-07-30 12:22:00,A,CE,SBambaras,5,Approve
32,2023-07-30 12:11:00,2023-07-30 12:16:00,A,CE,CDcosta,6,Approve
33,2023-07-30 12:12:00,2023-07-30 12:17:00,A,CE,QMascarenhas,1,Approve
34,2023-07-30 12:12:00,2023-07-30 12:27:00,A,CPRB,NVaid,5,Approve
35,2023-07-30 12:30:00,2023-07-30 12:35:00,A,CPRB,CDcosta,6,Approved only with outright purchase of handset or USIM only
36,2023-07-30 12:44:00,2023-07-30 12:56:00,A,CPB,NVaid,3,Approved only with outright purchase of handset or USIM only
37,2023-07-30 12:50:00,2023-07-30 13:00:00,A,CPB,AAkhundpur,2,Approve
38,2023-07-30 12:53:00,2023-07-30 13:03:00,A,CPB,NVaid,1,Approve
39,2023-07-30 12:54:00,2023-07-30 13:06:00,A,CE,CDcosta,6,Approve
40,2023-07-30 12:57:00,2023-07-30 13:07:00,A,CE,AAkhundpur,1,Approved for MBB only
41,2023-07-30 13:09:00,2023-07-30 13:17:00,A,CPRB,CDcosta,3,Approved for 1 handset and 1 MBB
42,2023-07-30 13:13:00,2023-07-30 13:25:00,A,CPB,CDcosta,5,Approved only with outright purchase of handset or USIM only
43,2023-07-30 13:24:00,2023-07-30 13:30:00,A,CE,QMascarenhas,6,Approve
44,2023-07-30 13:26:00,2023-07-30 13:37:00,A,CE,CDcosta,6,Approved for MBB only
45,2023-07-30 13:34:00,2023-07-30 13:59:00,A,CPB,CDcosta,6,Approved for 1 handset and 1 MBB
46,2023-07-30 13:39:00,2023-07-30 13:49:00,A,CPRB,NVaid,5,Approved only with outright purchase of handset or USIM only
47,2023-07-30 13:40:00,2023-07-30 14:05:00,A,CE,SSyed,3,Approve
48,2023-07-30 13:42:00,2023-07-30 13:58:00,A,CE,AAkhundpur,2,Approve
49,2023-07-30 13:42:00,2023-07-30 14:00:00,A,CPB,QMascarenhas,3,Approved only with outright purchase of handset or USIM only
50,2023-07-30 13:45:00,2023-07-30 14:02:00,A,CPB,AAkhundpur,4,Approved only with outright purchase of handset or USIM only
51,2023-07-30 13:50:00,2023-07-30 14:11:00,A,CPB,CDcosta,4,Approved only with outright purchase of handset or USIM only
52,2023-07-30 13:53:00,2023-07-30 14:08:00,A,CE,QMascarenhas,1,Approve
53,2023-07-30 13:55:00,2023-07-30 14:16:00,A,CE,AAkhundpur,2,Approve
54,2023-07-30 13:58:00,2023-07-30 14:06:00,A,CE,SSyed,1,
55,2023-07-30 13:59:00,2023-07-30 14:16:00,A,CPB,SSyed,1,
56,2023-07-30 14:03:00,2023-07-30 14:20:00,A,CE,NVaid,4,Approve
57,2023-07-30 14:05:00,2023-07-30 14:20:00,A,CE,CDcosta,6,Approve
58,2023-07-30 14:15:00,2023-07-30 14:28:00,A,CPB,NBhatia,1,Approve
59,2023-07-30 14:19:00,2023-07-30 14:25:00,A,CPB,SBambaras,2,Approved only with outright purchase of handset or USIM only
60,2023-07-30 14:19:00,2023-07-30 14:41:00,A,CE,QMascarenhas,2,Approve
61,2023-07-30 14:22:00,2023-07-30 14:28:00,A,CPB,CDcosta,1,Approved only with outright purchase of handset or USIM only
62,2023-07-30 14:23:00,2023-07-30 14:28:00,A,CE,SSyed,3,
63,2023-07-30 14:24:00,2023-07-30 14:33:00,A,CPB,RBose,6,Approve
64,2023-07-30 14:24:00,2023-07-30 14:35:00,A,CE,SBambaras,2,Approve
65,2023-07-30 14:30:00,2023-07-30 14:37:00,A,CPRB,NVaid,5,Direct debit to credit card / bank account only
